city,state,zip,is_available,,
New York City,New York,10006,TRUE,,
Los Angeles,California,90071,TRUE,,
Chicago,Illinois,60601,TRUE,,
Houston,Texas,77002,TRUE,,
Phoenix,Arizona,85003,TRUE,,
San Antonio,Texas,78205,TRUE,,
Philadelphia,Pennsylvania,19107,TRUE,,
San Diego,California,92101,TRUE,,
Dallas,Texas,75201,TRUE,,
Fort Worth,Texas,76102,TRUE,,
Jacksonville,Florida,32202,TRUE,,
Austin,Texas,78701,TRUE,,
San Jose,California,95113,TRUE,,
Charlotte,North Carolina,28280,TRUE,,
Columbus,Ohio,43215,TRUE,,
Indianapolis,Indiana,46204,TRUE,,
San Francisco,California,94103,TRUE,,
Seattle,Washington,98101,TRUE,,
Oklahoma City,Oklahoma,73102,TRUE,,
Denver,Colorado,80202,TRUE,,
Nashville,Tennessee,37203,TRUE,,
Washington,District of Columbia,20500,TRUE,,
El Paso,Texas,79901,TRUE,,
Las Vegas,Nevada,89101,TRUE,,
Boston,Massachusetts,2108,TRUE,,
Detroit,Michigan,48226,TRUE,,
Louisville,Kentucky,40202,TRUE,,
Portland,Oregon,97204,TRUE,,
Memphis,Tennessee,38103,TRUE,,
Albuquerque,New Mexico,87102,TRUE,,
Baltimore,Maryland,21202,TRUE,,
Milwaukee,Wisconsin,53203,TRUE,,
Tucson,Arizona,85701,TRUE,,
Fresno,California,93721,TRUE,,
Sacramento,California,95814,TRUE,,
Atlanta,Georgia,30303,TRUE,,
Mesa,Arizona,85201,TRUE,,
Kansas City,Missouri,64105,TRUE,,
Colorado Springs,Colorado,80903,TRUE,,
Raleigh,North Carolina,27601,TRUE,,
Omaha,Nebraska,68102,TRUE,,
Miami,Florida,33132,TRUE,,
Virginia Beach,Virginia,23451,TRUE,,
Long Beach,California,90802,TRUE,,
Oakland,California,94612,TRUE,,
Minneapolis,Minnesota,55401,TRUE,,
Bakersfield,California,93301,TRUE,,
Tampa,Florida,33602,TRUE,,
Tulsa,Oklahoma,74103,TRUE,,
Arlington,Texas,76010,TRUE,,
Aurora,Colorado,15151,TRUE,,
Wichita,Kansas,67202,TRUE,,
Cleveland,Ohio,44114,TRUE,,
New Orleans,Louisiana,70130,TRUE,,
Henderson,Nevada,89015,TRUE,,
Honolulu,Hawaii,96813,TRUE,,
Anaheim,California,92802,TRUE,,
Orlando,Florida,32801,TRUE,,
Riverside,California,92501,TRUE,,
Irvine,California,92604,TRUE,,
Stockton,California,95202,TRUE,,
Lexington,Kentucky,40507,TRUE,,
Corpus Christi,Texas,78401,TRUE,,
Cincinnati,Ohio,45202,TRUE,,
Santa Ana,California,92701,TRUE,,
Greensboro,North Carolina,27401,TRUE,,
Durham,North Carolina,27701,TRUE,,
Pittsburgh,Pennsylvania,15219,TRUE,,
Newark,New Jersey,7102,TRUE,,
North Las Vegas,Nevada,89030,TRUE,,
